"coordinates(x,y,z)",activity,,"coordinates(x,y,z)",activity,,"coordinates(x,y,z)",activity,,"coordinates(x,y,z)",activity,,,
{1084; 2414; 1002},walk,,{1298; 2342; 1072},stop/move/stand,,{896; 2346; 922},stop/static/stand,,{1632; 1238; 598},stop/static/seat,,,
{820; 2262; 774},walk,,{1236; 2496; 1158},stop/move/stand,,{906; 2364; 932},stop/static/stand,,{1632; 1258; 606},stop/static/seat,,,
{1108; 2254; 838},walk,,{1148; 2494; 1128},stop/move/stand,,{1022; 2194; 844},stop/static/stand,,{1628; 1264; 602},stop/static/seat,,,
{1084; 2276; 864},walk,,{1232; 2476; 1126},stop/move/stand,,{1060; 2178; 848},stop/static/stand,,{1580; 1136; 530},stop/static/seat,,,
{826; 2264; 776},walk,,{1290; 2216; 968},stop/move/stand,,{1052; 2168; 838},stop/static/stand,,{1546; 1054; 488},stop/static/seat,,,
{666; 2356; 816},walk,,{1186; 2480; 1112},stop/move/stand,,{1038; 2242; 878},stop/static/stand,,{1630; 1062; 544},stop/static/seat,,,
{916; 2342; 856},walk,,{1286; 2376; 1092},stop/move/stand,,{1088; 2252; 914},stop/static/stand,,{1590; 1124; 532},stop/static/seat,,,
{950; 2364; 886},walk,,{1300; 2390; 1074},stop/move/stand,,{1084; 2360; 990},stop/static/stand,,{1590; 1124; 536},stop/static/seat,,,
{950; 2332; 870},walk,,{1238; 2438; 1096},stop/move/stand,,{1002; 2418; 1004},stop/static/stand,,{1592; 1116; 532},stop/static/seat,,,
{984; 2310; 822},walk,,{1246; 2432; 1108},stop/move/stand,,{982; 2332; 932},stop/static/stand,,{1588; 1134; 536},stop/static/seat,,,
{1156; 2234; 850},walk,,{1288; 2376; 1088},stop/move/stand,,{936; 2338; 920},stop/static/stand,,{1592; 1124; 536},stop/static/seat,,,
{1246; 2400; 1032},walk,,{1274; 2278; 1006},stop/move/stand,,{910; 2318; 898},stop/static/stand,,{1590; 1128; 536},stop/static/seat,,,
{1244; 2540; 1036},walk,,{1192; 2368; 1032},stop/move/stand,,{932; 2284; 884},stop/static/stand,,{1588; 1142; 538},stop/static/seat,,,
{1172; 2444; 1018},walk,,{1302; 2352; 1032},stop/move/stand,,{986; 2248; 874},stop/static/stand,,{1592; 1126; 536},stop/static/seat,,,
{1194; 2522; 1116},walk,,{1256; 2380; 1078},stop/move/stand,,{980; 2288; 900},stop/static/stand,,{1584; 1146; 542},stop/static/seat,,,
{1094; 2416; 1032},walk,,{1262; 2398; 1084},stop/move/stand,,{1146; 2350; 1006},stop/static/stand,,{1590; 1128; 538},stop/static/seat,,,
{784; 2302; 862},walk,,{1284; 2406; 1102},stop/move/stand,,{1114; 2312; 964},stop/static/stand,,{1588; 1144; 540},stop/static/seat,,,
{1146; 2364; 976},walk,,{1246; 2356; 1030},stop/move/stand,,{1102; 2284; 942},stop/static/stand,,{1592; 1138; 540},stop/static/seat,,,
{978; 2312; 876},walk,,{1314; 2314; 1044},stop/move/stand,,{1090; 2290; 940},stop/static/stand,,,,,,
{792; 2318; 784},walk,,{1280; 2398; 1090},stop/move/stand,,{1118; 2244; 916},stop/static/stand,,,,,,
{654; 2400; 846},walk,,{1194; 2358; 1020},stop/move/stand,,{1096; 2272; 928},stop/static/stand,,,,,,
{890; 2372; 874},walk,,{1180; 2326; 996},stop/move/stand,,{1050; 2290; 924},stop/static/stand,,,,,,
{1006; 2330; 938},walk,,{1140; 2292; 958},stop/move/stand,,{1084; 2260; 914},stop/static/stand,,,,,,
{924; 2356; 870},walk,,{1132; 2338; 988},stop/move/stand,,{1076; 2280; 924},stop/static/stand,,,,,,
{970; 2356; 944},walk,,{1150; 2378; 1016},stop/move/stand,,{1086; 2250; 910},stop/static/stand,,,,,,
{1022; 2394; 1022},walk,,{1198; 2358; 1030},stop/move/stand,,{1096; 2186; 866},stop/static/stand,,,,,,
{1054; 2444; 1096},walk,,{1172; 2332; 992},stop/move/stand,,{1060; 2256; 902},stop/static/stand,,,,,,
{902; 2324; 898},walk,,{1148; 2348; 1004},stop/move/stand,,{1030; 2268; 902},stop/static/stand,,,,,,
{898; 2304; 798},walk,,{1192; 2232; 936},stop/move/stand,,{1002; 2288; 906},stop/static/stand,,,,,,
{1154; 2390; 920},walk,,{1310; 2222; 964},stop/move/stand,,{1024; 2292; 918},stop/static/stand,,,,,,
{876; 2326; 862},walk,,{1146; 2352; 980},stop/move/stand,,{1070; 2246; 898},stop/static/stand,,,,,,
{674; 2370; 802},walk,,{1046; 2374; 968},stop/move/stand,,{1048; 2260; 902},stop/static/stand,,,,,,
{636; 2434; 852},walk,,{796; 2470; 994},stop/move/stand,,{1070; 2258; 908},stop/static/stand,,,,,,
{1020; 2340; 902},walk,,{1080; 2422; 1044},stop/move/stand,,{1062; 2244; 894},stop/static/stand,,,,,,
{696; 2416; 914},walk,,{1072; 2442; 1050},stop/move/stand,,{1072; 2218; 876},stop/static/stand,,,,,,
{1012; 2312; 828},walk,,{1032; 2406; 1000},stop/move/stand,,{1090; 2170; 850},stop/static/stand,,,,,,
{1012; 2316; 892},walk,,{974; 2616; 1158},stop/move/stand,,{1042; 2202; 858},stop/static/stand,,,,,,
{1184; 2450; 1070},walk,,{1064; 2596; 1160},stop/move/stand,,{1002; 2304; 920},stop/static/stand,,,,,,
{1202; 2548; 1118},walk,,{1014; 2540; 1110},stop/move/stand,,{1024; 2320; 938},stop/static/stand,,,,,,
{1168; 2494; 988},walk,,{988; 2494; 1056},stop/move/stand,,{1066; 2306; 942},stop/static/stand,,,,,,
{592; 2606; 988},walk,,{984; 2538; 1084},stop/move/stand,,{1174; 2290; 976},stop/static/stand,,,,,,
{1068; 2458; 1102},walk,,{990; 2508; 1068},stop/move/stand,,{1070; 2332; 960},stop/static/stand,,,,,,
{516; 2592; 1066},walk,,{988; 2450; 1014},stop/move/stand,,{1026; 2410; 1014},stop/static/stand,,,,,,
{760; 2350; 918},walk,,{1014; 2434; 1022},stop/move/stand,,{914; 2438; 1002},stop/static/stand,,,,,,
{764; 2428; 940},walk,,{1048; 2482; 1062},stop/move/stand,,{986; 2398; 1002},stop/static/stand,,,,,,
{944; 2470; 1076},walk,,{610; 2614; 1094},stop/move/stand,,{1034; 2376; 988},stop/static/stand,,,,,,
{992; 2188; 884},walk,,{1018; 2512; 1116},stop/move/stand,,{1032; 2328; 950},stop/static/stand,,,,,,
{1084; 2340; 862},walk,,{1442; 2320; 1104},stop/move/stand,,{976; 2438; 1012},stop/static/stand,,,,,,
{850; 2394; 936},walk,,{1218; 2294; 998},stop/move/stand,,{1008; 2376; 974},stop/static/stand,,,,,,
{1130; 2310; 868},walk,,{1280; 2242; 1036},stop/move/stand,,{1020; 2336; 948},stop/static/stand,,,,,,
{1102; 2584; 1122},walk,,{1190; 2440; 1124},stop/move/stand,,{1036; 2324; 948},stop/static/stand,,,,,,
{1088; 2498; 1060},walk,,{1214; 2212; 938},stop/move/stand,,{1040; 2318; 942},stop/static/stand,,,,,,
{666; 2498; 940},walk,,{1194; 1914; 752},stop/move/stand,,{992; 2334; 938},stop/static/stand,,,,,,
{792; 2476; 882},walk,,{1140; 2276; 954},stop/move/stand,,{1130; 2286; 958},stop/static/stand,,,,,,
{934; 2416; 880},walk,,{1244; 1928; 774},stop/move/stand,,{1304; 2212; 968},stop/static/stand,,,,,,
{1074; 2462; 1012},walk,,{1202; 2410; 1108},stop/move/stand,,{1272; 2168; 920},stop/static/stand,,,,,,
{1176; 2616; 1176},walk,,{1178; 2208; 908},stop/move/stand,,{1256; 2146; 904},stop/static/stand,,,,,,
{1066; 2398; 1024},walk,,{1174; 2164; 866},stop/move/stand,,{1210; 2154; 888},stop/static/stand,,,,,,
{986; 2410; 1034},walk,,{1218; 2196; 912},stop/move/stand,,{1080; 2130; 820},stop/static/stand,,,,,,
{478; 2586; 1008},walk,,{1212; 2162; 884},stop/move/stand,,{1082; 2132; 820},stop/static/stand,,,,,,
{1054; 2286; 816},walk,,{1134; 2264; 926},stop/move/stand,,{1086; 2132; 822},stop/static/stand,,,,,,
{1306; 2200; 876},walk,,{1188; 2154; 892},stop/move/stand,,{1090; 2102; 800},stop/static/stand,,,,,,
{1126; 2268; 906},walk,,{1172; 2142; 890},stop/move/stand,,{1064; 2110; 800},stop/static/stand,,,,,,
{1112; 2320; 946},walk,,{1194; 2258; 952},stop/move/stand,,{1058; 2124; 806},stop/static/stand,,,,,,
{1114; 2308; 964},walk,,{1200; 2228; 906},stop/move/stand,,{1092; 2096; 800},stop/static/stand,,,,,,
{1168; 2336; 1052},walk,,{1174; 2274; 954},stop/move/stand,,,,,,,,,
{1134; 2370; 932},walk,,{1178; 2254; 942},stop/move/stand,,,,,,,,,
{1270; 2378; 948},walk,,{1200; 2198; 890},stop/move/stand,,,,,,,,,
{1106; 2204; 798},walk,,{1178; 2258; 918},stop/move/stand,,,,,,,,,
{886; 2202; 742},walk,,{1120; 2356; 994},stop/move/stand,,,,,,,,,
{1090; 2236; 856},walk,,{1044; 2398; 1020},stop/move/stand,,,,,,,,,
{856; 2290; 818},walk,,{1182; 2268; 946},stop/move/stand,,,,,,,,,
{994; 2424; 1002},walk,,{1172; 2356; 1008},stop/move/stand,,,,,,,,,
{1058; 2570; 1096},walk,,{1132; 2342; 992},stop/move/stand,,,,,,,,,
{1040; 2578; 1084},walk,,{1298; 2060; 892},stop/move/stand,,,,,,,,,
{928; 2584; 1018},walk,,{1278; 2288; 1034},stop/move/stand,,,,,,,,,
{774; 2540; 972},walk,,{1224; 2190; 914},stop/move/stand,,,,,,,,,
{976; 2426; 1038},walk,,{1278; 2100; 870},stop/move/stand,,,,,,,,,
{1020; 2476; 976},walk,,{1240; 2316; 1014},stop/move/stand,,,,,,,,,
{1218; 2656; 1118},walk,,{1144; 2322; 974},stop/move/stand,,,,,,,,,
{1020; 2472; 1030},walk,,{1102; 2276; 928},stop/move/stand,,,,,,,,,
{878; 2436; 894},walk,,{1142; 2234; 908},stop/move/stand,,,,,,,,,
{1096; 2322; 956},walk,,{1112; 2370; 1008},stop/move/stand,,,,,,,,,
{860; 2340; 872},walk,,{1154; 2338; 998},stop/move/stand,,,,,,,,,
{1150; 2372; 920},walk,,{1114; 2312; 960},stop/move/stand,,,,,,,,,
{1170; 2632; 1198},walk,,{748; 2532; 1044},stop/move/stand,,,,,,,,,
{1176; 2542; 1038},walk,,{572; 2482; 940},stop/move/stand,,,,,,,,,
{1070; 2392; 996},walk,,{892; 2486; 1010},stop/move/stand,,,,,,,,,
{702; 2520; 1002},walk,,{994; 2346; 950},stop/move/stand,,,,,,,,,
{966; 2558; 1012},walk,,{912; 2448; 1006},stop/move/stand,,,,,,,,,
{1138; 2398; 1036},walk,,{980; 2492; 1056},stop/move/stand,,,,,,,,,
{1260; 2702; 1184},walk,,{1032; 2466; 1044},stop/move/stand,,,,,,,,,
{862; 2398; 864},walk,,{1026; 2370; 984},stop/move/stand,,,,,,,,,
{736; 2090; 670},walk,,{1082; 2324; 966},stop/move/stand,,,,,,,,,
{948; 2356; 890},walk,,{1088; 2342; 974},stop/move/stand,,,,,,,,,
{860; 2480; 938},walk,,{1034; 2574; 1182},stop/move/stand,,,,,,,,,
{1234; 2476; 1056},walk,,{808; 3188; 1832},stop/move/stand,,,,,,,,,
{1140; 2566; 1136},walk,,{866; 2568; 1070},stop/move/stand,,,,,,,,,
{948; 2548; 1066},walk,,{1092; 2404; 1024},stop/move/stand,,,,,,,,,
{724; 2414; 898},walk,,{1074; 2444; 1062},stop/move/stand,,,,,,,,,
{442; 2698; 1050},walk,,{1038; 2536; 1106},stop/move/stand,,,,,,,,,
{486; 2608; 988},walk,,{1058; 2318; 954},stop/move/stand,,,,,,,,,
{1058; 2522; 1064},walk,,{1088; 2312; 948},stop/move/stand,,,,,,,,,
{1136; 2552; 1184},walk,,{1030; 2602; 1152},stop/move/stand,,,,,,,,,
{740; 2474; 1004},walk,,{-114; 2810; 1196},stop/move/stand,,,,,,,,,
{1026; 2384; 924},walk,,{748; 2708; 1220},stop/move/stand,,,,,,,,,
{1002; 2422; 954},walk,,{866; 2636; 1166},stop/move/stand,,,,,,,,,
{768; 2284; 780},walk,,{946; 2500; 1040},stop/move/stand,,,,,,,,,
{538; 2488; 882},walk,,{960; 2592; 1132},stop/move/stand,,,,,,,,,
{698; 2580; 924},walk,,{962; 2532; 1088},stop/move/stand,,,,,,,,,
{1010; 2510; 1006},walk,,{946; 2608; 1132},stop/move/stand,,,,,,,,,
{824; 2546; 990},walk,,{962; 2540; 1090},stop/move/stand,,,,,,,,,
{968; 2486; 1064},walk,,{964; 2498; 1062},stop/move/stand,,,,,,,,,
{932; 2454; 1098},walk,,{926; 2512; 1050},stop/move/stand,,,,,,,,,
{1094; 2620; 1198},walk,,{982; 2482; 1046},stop/move/stand,,,,,,,,,
{948; 2464; 948},walk,,{940; 2544; 1084},stop/move/stand,,,,,,,,,
{636; 2376; 826},walk,,{1000; 2402; 986},stop/move/stand,,,,,,,,,
{1006; 2464; 1006},walk,,{1172; 2260; 946},stop/move/stand,,,,,,,,,
{920; 2222; 866},walk,,{1086; 2334; 968},stop/move/stand,,,,,,,,,
{1184; 2352; 938},walk,,{-60; 2172; 650},stop/move/stand,,,,,,,,,
{974; 2620; 1098},walk,,{850; 2354; 934},stop/move/stand,,,,,,,,,
{930; 2618; 1098},walk,,{1012; 2308; 920},stop/move/stand,,,,,,,,,
{902; 2644; 1132},walk,,{1000; 2360; 952},stop/move/stand,,,,,,,,,
{1014; 2442; 968},walk,,{962; 2344; 922},stop/move/stand,,,,,,,,,
{1022; 2532; 1048},walk,,{1086; 2304; 950},stop/move/stand,,,,,,,,,
{1220; 2566; 1102},walk,,{1130; 2356; 994},stop/move/stand,,,,,,,,,
{1244; 2616; 1182},walk,,{1088; 2200; 874},stop/move/stand,,,,,,,,,
{1176; 2576; 1106},walk,,,,,,,,,,,,
{982; 2578; 1084},walk,,,,,,,,,,,,
{1056; 2452; 1048},walk,,,,,,,,,,,,
{848; 2570; 1158},walk,,,,,,,,,,,,
{964; 2524; 1094},walk,,,,,,,,,,,,
{634; 2470; 880},walk,,,,,,,,,,,,
{502; 2576; 932},walk,,,,,,,,,,,,
{534; 2578; 874},walk,,,,,,,,,,,,
{744; 2650; 932},walk,,,,,,,,,,,,
{796; 2590; 1064},walk,,,,,,,,,,,,
{848; 2592; 1030},walk,,,,,,,,,,,,
{942; 2378; 904},walk,,,,,,,,,,,,
{858; 2536; 968},walk,,,,,,,,,,,,
{634; 2158; 716},walk,,,,,,,,,,,,
