118.1, DistDow,118.71, DistUp,189.9,,,,,,,,
, DistFront,118.2, DistDow,119.27, DistUp,3.76,,,,,,
, DistFront,111.89, DistDow,120.14, DistUp,124.52,,,,,,
, DistFront,118.25, DistDow,119.71, DistUp,4.17,,,,,,
, DistFront,112.04, DistDow,118.88, DistUp,124.61,,,,,,
, DistFront,114.35, DistDow,119.32, DistUp,123.33,,,,,,
, DistFront,115.24, DistDow,120.61, DistUp,123.32,,,,,,
, DistFront,118.16, DistDow,119.68, DistUp,3.76,,,,,,
, DistFront,115.6, DistDow,118.78, DistUp,124.3,,,,,,
, DistFront,112.28, DistDow,119.18, DistUp,123.91,,,,,,
, DistFront,118.81, DistDow,119, DistUp,3.76,,,,,,
