AcX:,diffAcX,AcY:,diffAcY:,AcZ:,diffAcZ:,AgX:,diffAgX:,AgY:,diffAgY:,AgZ:,diffAgZ:,activity,,,
-6237,15,751,35,15147,3,-1804,0,-226,53,86,19,stop,,,
-6239,2,795,44,15109,38,-1805,1,-193,33,54,32,stop,,,
-6184,55,829,34,15122,13,-1806,1,-178,15,50,4,stop,,,
-6192,8,840,11,15126,4,-1804,2,-200,22,101,51,stop,,,
-6217,25,869,29,15112,14,-1804,0,-259,59,126,25,stop,,,
-6233,16,831,38,15134,22,-1805,1,-311,52,99,27,stop,,,
-6218,15,812,19,15127,7,-1805,0,-268,43,105,6,stop,,,
-6234,16,794,18,15114,13,-1805,0,-242,26,96,9,stop,,,
-6254,20,815,21,15124,10,-1801,4,-282,40,112,16,stop,,,
-6257,3,779,36,15093,31,-1803,2,-280,2,93,19,stop,,,
-6257,0,766,13,15117,24,-1804,1,-215,65,92,1,stop,,,
-6254,3,838,72,15106,11,-1800,4,-223,8,73,19,stop,,,
-6241,13,821,17,15112,6,-1797,3,-243,20,81,8,stop,,,
-6279,38,808,13,15119,7,-1798,1,-206,37,65,16,stop,,,
-6218,61,858,50,15068,51,-1801,3,-289,83,70,5,stop,,,
-6235,17,797,61,15107,39,-1799,2,-321,32,105,35,stop,,,
-6241,6,779,18,15138,31,-1797,2,-260,61,111,6,stop,,,
-6273,32,785,6,15110,28,-1793,4,-253,7,121,10,stop,,,
-6275,2,783,2,15094,16,-1801,8,-248,5,114,7,stop,,,
-6289,14,782,1,15111,17,-1799,2,-220,28,70,44,stop,,,
-6278,11,820,38,15095,16,-1795,4,-187,33,66,4,stop,,,
-6291,13,854,34,15105,10,-1796,1,-211,24,68,2,stop,,,
-6253,38,859,5,15072,33,-1796,0,-275,64,81,13,stop,,,
-6264,11,794,65,15080,8,-1797,1,-323,48,111,30,stop,,,
-6275,11,800,6,15102,22,-1797,0,-221,102,114,3,stop,,,
-6302,27,819,19,15083,19,-1796,1,-264,43,103,11,stop,,,
-6271,31,794,25,15100,17,-1794,2,-282,18,81,22,stop,,,
-6289,18,751,43,15078,22,-1793,1,-270,12,98,17,stop,,,
-6299,10,770,19,15092,14,-1792,1,-218,52,104,6,stop,,,
