, DistFront, 117.70, DistDow, 122.21, DistUp, 167.91
, DistFront, 118.25, DistDow, 121.96, DistUp, 3.76
, DistFront, 117.91, DistDow, 121.14, DistUp, 3.76
, DistFront, 117.06, DistDow, 119.91, DistUp, 3.76
, DistFront, 117.40, DistDow, 120.24, DistUp, 3.76
, DistFront, 117.53, DistDow, 119.54, DistUp, 3.78
, DistFront, 119.23, DistDow, 118.98, DistUp, 3.67
, DistFront, 117.76, DistDow, 118.76, DistUp, 3.78
, DistFront, 118.78, DistDow, 118.64, DistUp, 3.76
, DistFront, 118.13, DistDow, 119.30, DistUp, 3.76
, DistFront, 117.13, DistDow, 118.88, DistUp, 3.76
, DistFront, 117.09, DistDow, 118.74, DistUp, 220.48
, DistFront, 117.24, DistDow, 119.05, DistUp, 3.78
, DistFront, 118.25, DistDow, 119.13, DistUp, 3.78
, DistFront, 117.60, DistDow, 120.26, DistUp, 3.76
, DistFront, 118.95, DistDow, 119.40, DistUp, 3.76
, DistFront, 118.64, DistDow, 119.56, DistUp, 3.78
, DistFront, 118.98, DistDow, 119.42, DistUp, 3.78
, DistFront, 117.93, DistDow, 121.46, DistUp, 3.76
, DistFront, 118.78, DistDow, 119.30, DistUp, 3.76
, DistFrontMean, 117.48, DistDowMean, 119.68, DistUpMean, 3652.13
, DistFront, 116.82, DistDow, 119.40, DistUp, 3.76
, DistFront, 116.75, DistDow, 118.95, DistUp, 3633.16
, DistFront, 105.24, DistDow, 118.47, DistUp, 223.89
, DistFront, 117.35, DistDow, 118.59, DistUp, 219.32
, DistFront, 117.31, DistDow, 119.78, DistUp, 3.76
, DistFront, 118.64, DistDow, 119.90, DistUp, 221.26
, DistFront, 117.40, DistDow, 120.03, DistUp, 220.85
, DistFront, 117.55, DistDow, 119.32, DistUp, 3625.31
, DistFront, 107.77, DistDow, 121.05, DistUp, 3648.45
, DistFront, 106.89, DistDow, 121.14, DistUp, 3657.24
, DistFront, 107.11, DistDow, 120.02, DistUp, 3650.34
, DistFront, 106.28, DistDow, 119.12, DistUp, 3648.74
, DistFront, 105.88, DistDow, 119.74, DistUp, 3656.50
, DistFront, 106.48, DistDow, 118.52, DistUp, 3625.39
, DistFront, 105.19, DistDow, 119.30, DistUp, 3682.93
, DistFront, 105.68, DistDow, 119.46, DistUp, 3682.16
, DistFront, 105.49, DistDow, 119.69, DistUp, 3630.56
, DistFront, 106.14, DistDow, 121.60, DistUp, 3631.38
, DistFront, 106.41, DistDow, 119.34, DistUp, 167.69
, DistFront, 118.16, DistDow, 119.66, DistUp, 3.64
, DistFrontMean, 118.84, DistDowMean, 121.39, DistUpMean, 3678.16
, DistFront, 117.91, DistDow, 120.41, DistUp, 3.76
, DistFront, 117.84, DistDow, 119.00, DistUp, 3.76
, DistFront, 117.81, DistDow, 118.67, DistUp, 3.78
, DistFront, 118.10, DistDow, 119.20, DistUp, 3.67
, DistFront, 117.45, DistDow, 119.56, DistUp, 3.78
, DistFront, 118.23, DistDow, 119.46, DistUp, 3.76
, DistFront, 118.16, DistDow, 120.56, DistUp, 3.64
, DistFront, 118.13, DistDow, 119.35, DistUp, 3.78
, DistFront, 118.45, DistDow, 119.20, DistUp, 3.76
, DistFront, 119.05, DistDow, 119.49, DistUp, 3.76
, DistFront, 117.26, DistDow, 119.39, DistUp, 3.76
, DistFront, 117.99, DistDow, 119.56, DistUp, 3.67
, DistFront, 116.38, DistDow, 118.81, DistUp, 3.67
, DistFront, 117.16, DistDow, 117.89, DistUp, 3634.59
, DistFront, 104.91, DistDow, 118.61, DistUp, 3630.17
, DistFront, 105.49, DistDow, 119.17, DistUp, 3660.05
, DistFront, 106.34, DistDow, 118.67, DistUp, 3654.83
, DistFront, 106.39, DistDow, 119.59, DistUp, 3665.85
, DistFront, 108.06, DistDow, 119.61, DistUp, 3658.11
, DistFront, 108.54, DistDow, 120.66, DistUp, 3649.47
, DistFront, 107.40, DistDow, 119.00, DistUp, 182.40
, DistFront, 117.77, DistDow, 119.85, DistUp, 3640.75
, DistFront, 106.97, DistDow, 120.31, DistUp, 3656.09
, DistFront, 108.96, DistDow, 121.11, DistUp, 3630.53
, DistFront, 107.87, DistDow, 119.85, DistUp, 3674.34
, DistFront, 107.02, DistDow, 119.91, DistUp, 3645.31
, DistFront, 107.28, DistDow, 120.19, DistUp, 178.06
, DistFront, 119.03, DistDow, 122.40, DistUp, 3.76
, DistFrontMean, 119.05, DistDowMean, 120.70, DistUpMean, 3640.14
, DistFront, 119.17, DistDow, 120.82, DistUp, 3.76
, DistFront, 119.39, DistDow, 120.17, DistUp, 3.76
, DistFront, 118.28, DistDow, 119.76, DistUp, 3.64
, DistFront, 118.78, DistDow, 119.54, DistUp, 3.78
, DistFront, 119.03, DistDow, 119.35, DistUp, 3.76
, DistFront, 117.81, DistDow, 121.12, DistUp, 3.78
, DistFront, 117.89, DistDow, 120.82, DistUp, 3.76
, DistFront, 118.04, DistDow, 120.20, DistUp, 3.76
, DistFront, 118.18, DistDow, 120.68, DistUp, 3.76
, DistFront, 118.54, DistDow, 121.48, DistUp, 3.78
, DistFront, 119.03, DistDow, 120.27, DistUp, 3.76
, DistFront, 117.40, DistDow, 119.47, DistUp, 3.67
, DistFront, 117.13, DistDow, 120.92, DistUp, 3.78
, DistFront, 118.78, DistDow, 120.48, DistUp, 3.78
, DistFront, 117.76, DistDow, 119.83, DistUp, 3.78
, DistFront, 118.23, DistDow, 120.77, DistUp, 3.76
, DistFront, 118.78, DistDow, 120.88, DistUp, 3.76
, DistFront, 119.13, DistDow, 122.06, DistUp, 3.78
, DistFront, 119.23, DistDow, 120.88, DistUp, 3.78
, DistFront, 118.78, DistDow, 120.85, DistUp, 3597.02
, DistFrontMean, 118.67, DistDowMean, 121.05, DistUpMean, 3.64
, DistFront, 118.55, DistDow, 120.14, DistUp, 3637.84
, DistFront, 107.64, DistDow, 120.41, DistUp, 183.78
, DistFront, 119.18, DistDow, 120.43, DistUp, 3.76
, DistFront, 118.84, DistDow, 120.02, DistUp, 3.78
, DistFront, 118.54, DistDow, 119.71, DistUp, 3.78
, DistFront, 119.13, DistDow, 120.37, DistUp, 3.76
, DistFront, 118.84, DistDow, 120.85, DistUp, 3.76
, DistFront, 119.03, DistDow, 120.56, DistUp, 3.76
, DistFront, 119.10, DistDow, 119.71, DistUp, 3.76
, DistFront, 119.34, DistDow, 119.30, DistUp, 3.76
, DistFront, 118.40, DistDow, 120.37, DistUp, 3.76
, DistFront, 118.33, DistDow, 120.02, DistUp, 3.76
, DistFront, 117.93, DistDow, 119.91, DistUp, 3.76
, DistFront, 118.32, DistDow, 119.35, DistUp, 3.64
, DistFront, 117.76, DistDow, 119.32, DistUp, 3.76
, DistFront, 117.98, DistDow, 120.88, DistUp, 3.76
, DistFront, 117.77, DistDow, 120.27, DistUp, 3.76
, DistFront, 117.81, DistDow, 119.27, DistUp, 3.64
, DistFront, 118.20, DistDow, 119.42, DistUp, 3.78
, DistFront, 119.10, DistDow, 120.39, DistUp, 3.78
