 DistFront,105.7, DistDow,114.47, DistUp,2.53,ObstDistMax120cm ,,,
 DistFront,106.02, DistDow,114.81, DistUp,2.53,ObstDistMax120cm ,,,
 DistFront,104.27, DistDow,114.39, DistUp,2.18,ObstDistMax120cm ,,,
 DistFront,105.1, DistDow,114.88, DistUp,2.57,ObstDistMax120cm ,,,
 DistFront,104.34, DistDow,115.34, DistUp,2.57,ObstDistMax120cm ,,,
 DistFront,105.61, DistDow,114.95, DistUp,2.62,ObstDistMax120cm ,,,
 DistFront,102.26, DistDow,115.83, DistUp,2.76,ObstDistMax120cm ,,,
 DistFront,102.77, DistDow,114.17, DistUp,2.64,ObstDistMax120cm ,,,
 DistFront,104.52, DistDow,115.75, DistUp,2.62,ObstDistMax120cm ,,,
 DistFront,102.82, DistDow,115.03, DistUp,3.06,ObstDistMax120cm ,,,
 DistFront,104.56, DistDow,114.66, DistUp,2.69,ObstDistMax120cm ,,,
 DistFront,104.2, DistDow,113.76, DistUp,2.62,ObstDistMax120cm ,,,
 DistFront,103.83, DistDow,114.06, DistUp,2.91,ObstDistMax120cm ,,,
 DistFront,99.3, DistDow,114.35, DistUp,4.17,ObstDistMax120cm ,,,
 DistFront,110.82, DistDow,114.74, DistUp,2.24,ObstDistMax120cm ,,,
 DistFront,104.32, DistDow,112.47, DistUp,3.35,ObstDistMax120cm ,,,
 DistFront,104.05, DistDow,114.06, DistUp,3.03,ObstDistMax120cm ,,,
 DistFront,101.85, DistDow,112.76, DistUp,5.73,ObstDistMax120cm ,,,
 DistFrontMean,113.11, DistDowMean,114.54, DistUpMean,117.62,ObstDistMax120cm,,,
 DistFront,113.54, DistDow,112.7, DistUp,3600.07,ObstDistMax120cm ,,,
 DistFront,102.84, DistDow,115.14, DistUp,369.52,ObstDistMax120cm ,,,
 DistFront,114.81, DistDow,112.69, DistUp,116.85,ObstDistMax120cm ,,,
 DistFront,114.49, DistDow,115.24, DistUp,3661.31,ObstDistMax120cm ,,,
 DistFront,102.82, DistDow,116.92, DistUp,117.62,ObstDistMax120cm ,,,
 DistFront,114.83, DistDow,116.17, DistUp,117.96,ObstDistMax120cm ,,,
 DistFront,114.52, DistDow,116.17, DistUp,118.69,ObstDistMax120cm ,,,
 DistFront,114.4, DistDow,115.54, DistUp,116.45,ObstDistMax120cm ,,,
 DistFront,113.84, DistDow,113.1, DistUp,116.34,ObstDistMax120cm ,,,
 DistFront,112.96, DistDow,116.26, DistUp,116.82,ObstDistMax120cm ,,,
 DistFront,113.74, DistDow,115.46, DistUp,115.85,ObstDistMax120cm ,,,
 DistFront,114.05, DistDow,114.32, DistUp,117.02,ObstDistMax120cm ,,,
 DistFront,114.34, DistDow,115.63, DistUp,117.69,ObstDistMax120cm ,,,
 DistFront,113.71, DistDow,115.49, DistUp,118.04,ObstDistMax120cm ,,,
 DistFront,114.18, DistDow,114.52, DistUp,116.21,ObstDistMax120cm ,,,
 DistFront,113.18, DistDow,113.23, DistUp,115.7,ObstDistMax120cm ,,,
 DistFront,113.38, DistDow,114.34, DistUp,115.9,ObstDistMax120cm ,,,
 DistFront,113.84, DistDow,112.19, DistUp,115.49,ObstDistMax120cm ,,,
 DistFront,114.05, DistDow,114.47, DistUp,115.41,ObstDistMax120cm ,,,
 DistFront,112.82, DistDow,114.35, DistUp,116.04,ObstDistMax120cm ,,,
 DistFrontMean,113.47, DistDowMean,115.17, DistUpMean,115.17,ObstDistMax120cm,,,
 DistFront,113.35, DistDow,114.76, DistUp,116.5,ObstDistMax120cm ,,,
 DistFront,112.93, DistDow,113.74, DistUp,116.7,ObstDistMax120cm ,,,
 DistFront,112.47, DistDow,111.17, DistUp,114.56,ObstDistMax120cm ,,,
 DistFront,112.76, DistDow,114.83, DistUp,115.37,ObstDistMax120cm ,,,
 DistFront,113.04, DistDow,113.4, DistUp,115.03,ObstDistMax120cm ,,,
 DistFront,113.18, DistDow,114.4, DistUp,114.9,ObstDistMax120cm ,,,
 DistFront,113.04, DistDow,113.42, DistUp,116.6,ObstDistMax120cm ,,,
 DistFront,113.67, DistDow,113.62, DistUp,114.46,ObstDistMax120cm ,,,
 DistFront,112.47, DistDow,114.63, DistUp,114.12,ObstDistMax120cm ,,,
 DistFront,113.47, DistDow,114.35, DistUp,114.56,ObstDistMax120cm ,,,
 DistFront,113.1, DistDow,112.47, DistUp,115.46,ObstDistMax120cm ,,,
 DistFront,114.18, DistDow,113.88, DistUp,114.74,ObstDistMax120cm ,,,
 DistFront,113.76, DistDow,114.74, DistUp,114.71,ObstDistMax120cm ,,,
 DistFront,113.84, DistDow,114.83, DistUp,114.81,ObstDistMax120cm ,,,
 DistFront,113.45, DistDow,115.39, DistUp,115.49,ObstDistMax120cm ,,,
 DistFront,114, DistDow,113.13, DistUp,116.05,ObstDistMax120cm ,,,
 DistFront,112.55, DistDow,114.3, DistUp,115.39,ObstDistMax120cm ,,,
 DistFront,113.04, DistDow,113.81, DistUp,115.75,ObstDistMax120cm ,,,
 DistFrontMean,112.64, DistDowMean,114.39, DistUpMean,115.78,ObstDistMax120cm,,,
 DistFront,113.27, DistDow,113.67, DistUp,116.04,ObstDistMax120cm ,,,
 DistFront,113.33, DistDow,115.48, DistUp,117.38,ObstDistMax120cm ,,,
 DistFront,114.1, DistDow,116.28, DistUp,115.34,ObstDistMax120cm ,,,
 DistFront,114.3, DistDow,116.09, DistUp,115.54,ObstDistMax120cm ,,,
 DistFront,114.56, DistDow,104.25, DistUp,116.31,ObstDistMax120cm ,,,
 DistFront,114.66, DistDow,115.14, DistUp,115.37,ObstDistMax120cm ,,,
 DistFront,113.45, DistDow,115.66, DistUp,115.83,ObstDistMax120cm ,,,
 DistFront,113.95, DistDow,115.17, DistUp,117.52,ObstDistMax120cm ,,,
 DistFront,114.59, DistDow,115.54, DistUp,117.02,ObstDistMax120cm ,,,
 DistFront,114.18, DistDow,115.78, DistUp,115.73,ObstDistMax120cm ,,,
 DistFront,113.69, DistDow,116.12, DistUp,116.6,ObstDistMax120cm ,,,
 DistFront,114, DistDow,116.05, DistUp,117.04,ObstDistMax120cm ,,,
 DistFront,115.2, DistDow,116.04, DistUp,116.12,ObstDistMax120cm ,,,
 DistFront,113.95, DistDow,114.74, DistUp,116.62,ObstDistMax120cm ,,,
 DistFront,113.52, DistDow,114.3, DistUp,116.34,ObstDistMax120cm ,,,
 DistFront,114.71, DistDow,114.18, DistUp,116.21,ObstDistMax120cm ,,,
 DistFront,113.45, DistDow,115.1, DistUp,116.19,ObstDistMax120cm ,,,
 DistFront,114.32, DistDow,114.61, DistUp,116.21,ObstDistMax120cm ,,,
 DistFront,113.45, DistDow,114.68, DistUp,117.84,ObstDistMax120cm ,,,
 DistFront,113.52, DistDow,115.97, DistUp,116.48,ObstDistMax120cm ,,,
 DistFrontMean,114.2, DistDowMean,115.43, DistUpMean,116.05,ObstDistMax120cm,,,
 DistFront,113.42, DistDow,115.07, DistUp,116.85,ObstDistMax120cm ,,,
 DistFront,113.69, DistDow,115.32, DistUp,116.09,ObstDistMax120cm ,,,
 DistFront,113.71, DistDow,114.47, DistUp,116.45,ObstDistMax120cm ,,,
 DistFront,114.12, DistDow,115.02, DistUp,118.27,ObstDistMax120cm ,,,
 DistFront,113.91, DistDow,114.13, DistUp,116.8,ObstDistMax120cm ,,,
 DistFront,114.4, DistDow,115.17, DistUp,116.02,ObstDistMax120cm ,,,
 DistFront,113.62, DistDow,114.85, DistUp,118.59,ObstDistMax120cm ,,,
 DistFront,115.32, DistDow,114.34, DistUp,116.68,ObstDistMax120cm ,,,
 DistFront,113.83, DistDow,115.97, DistUp,117.74,ObstDistMax120cm ,,,
 DistFront,114.06, DistDow,114.83, DistUp,118.35,ObstDistMax120cm ,,,
 DistFront,113.49, DistDow,114.25, DistUp,115.2,ObstDistMax120cm ,,,
 DistFront,115.12, DistDow,113.78, DistUp,114.83,ObstDistMax120cm ,,,
 DistFront,113.98, DistDow,113.4, DistUp,115.83,ObstDistMax120cm ,,,
 DistFront,113.42, DistDow,113.78, DistUp,117.02,ObstDistMax120cm ,,,
 DistFront,114.27, DistDow,113.35, DistUp,115.24,ObstDistMax120cm ,,,
 DistFront,113.54, DistDow,115.24, DistUp,115.41,ObstDistMax120cm ,,,
 DistFront,112.18, DistDow,114.71, DistUp,118.42,ObstDistMax120cm ,,,
 DistFront,113.89, DistDow,115.61, DistUp,115.46,ObstDistMax120cm ,,,
 DistFront,112.81, DistDow,116.19, DistUp,115.26,ObstDistMax120cm ,,,
 DistFront,114.69, DistDow,115.2, DistUp,116.99,ObstDistMax120cm ,,,
 DistFrontMean,114.34, DistDowMean,117.02, DistUpMean,116.38,ObstDistMax120cm,,,
 DistFront,114.59, DistDow,117.82, DistUp,115.49,ObstDistMax120cm ,,,
 DistFront,113.52, DistDow,115.95, DistUp,115.19,ObstDistMax120cm ,,,
 DistFront,114.66, DistDow,161.62, DistUp,115.12,ObstDistMax120cm ,,,
 DistFront,115.07, DistDow,118.1, DistUp,115.49,ObstDistMax120cm ,,,
 DistFront,113.23, DistDow,118.76, DistUp,114.97,ObstDistMax120cm ,,,
 DistFront,113.1, DistDow,116.21, DistUp,114.4,ObstDistMax120cm ,,,
 DistFront,114.59, DistDow,115.24, DistUp,115.39,ObstDistMax120cm ,,,
 DistFront,113.74, DistDow,116.46, DistUp,114.61,ObstDistMax120cm ,,,
 DistFront,115.03, DistDow,116.89, DistUp,116.89,ObstDistMax120cm ,,,
 DistFront,114.66, DistDow,116.05, DistUp,115.82,ObstDistMax120cm ,,,
 DistFront,114.34, DistDow,115.75, DistUp,115.88,ObstDistMax120cm ,,,
 DistFront,114.52, DistDow,117.26, DistUp,116.04,ObstDistMax120cm ,,,
 DistFront,114.46, DistDow,117.69, DistUp,115.83,ObstDistMax120cm ,,,
 DistFront,116.77, DistDow,118.89, DistUp,115.95,ObstDistMax120cm ,,,
 DistFront,116.99, DistDow,118.69, DistUp,116.53,ObstDistMax120cm ,,,
 DistFront,114.63, DistDow,114.9, DistUp,115.12,ObstDistMax120cm ,,,
 DistFront,114.46, DistDow,115.82, DistUp,115.34,ObstDistMax120cm ,,,
 DistFront,114.2, DistDow,115.31, DistUp,116.62,ObstDistMax120cm ,,,
 DistFront,114.27, DistDow,116.17, DistUp,115.43,ObstDistMax120cm ,,,
 DistFront,113.76, DistDow,116.31, DistUp,115.88,ObstDistMax120cm ,,,
 DistFrontMean,115.46, DistDowMean,116.24, DistUpMean,116.62,ObstDistMax120cm,,,
 DistFront,114.12, DistDow,116.67, DistUp,116.7,ObstDistMax120cm ,,,
 DistFront,114.85, DistDow,116.7, DistUp,116.11,ObstDistMax120cm ,,,
 DistFront,113.91, DistDow,114.76, DistUp,117.76,ObstDistMax120cm ,,,
 DistFront,114.54, DistDow,114.98, DistUp,116.33,ObstDistMax120cm ,,,
 DistFront,112.67, DistDow,115.66, DistUp,115.17,ObstDistMax120cm ,,,
 DistFront,114.25, DistDow,114.59, DistUp,115.82,ObstDistMax120cm ,,,
 DistFront,113.89, DistDow,115.31, DistUp,115.66,ObstDistMax120cm ,,,
 DistFront,112.81, DistDow,114.54, DistUp,114.46,ObstDistMax120cm ,,,
 DistFront,113.11, DistDow,114.35, DistUp,115.49,ObstDistMax120cm ,,,
 DistFront,112.26, DistDow,114.83, DistUp,115.37,ObstDistMax120cm ,,,
 DistFront,112.16, DistDow,113.78, DistUp,113.33,ObstDistMax120cm ,,,
 DistFront,112.31, DistDow,113.52, DistUp,114.68,ObstDistMax120cm ,,,
 DistFront,111.48, DistDow,113.62, DistUp,112.67,ObstDistMax120cm ,,,
 DistFront,112.13, DistDow,112.99, DistUp,112.41,ObstDistMax120cm ,,,
 DistFront,111.56, DistDow,111.19, DistUp,112.69,ObstDistMax120cm ,,,
 DistFront,111.8, DistDow,111.33, DistUp,112.84,ObstDistMax120cm ,,,
 DistFront,111.04, DistDow,112.33, DistUp,112.53,ObstDistMax120cm ,,,
 DistFront,110.39, DistDow,112.04, DistUp,113.03,ObstDistMax120cm ,,,
 DistFront,110.53, DistDow,112.33, DistUp,111.53,ObstDistMax120cm ,,,
 DistFront,109.59, DistDow,110.88, DistUp,111.84,ObstDistMax120cm ,,,
 DistFrontMean,109.49, DistDowMean,112.18, DistUpMean,111.85,ObstDistMax120cm,,,
 DistFront,110.31, DistDow,111.68, DistUp,111.38,ObstDistMax120cm ,,,
 DistFront,108.83, DistDow,111.11, DistUp,112.13,ObstDistMax120cm ,,,
 DistFront,109.39, DistDow,112.04, DistUp,113.1,ObstDistMax120cm ,,,
 DistFront,109.27, DistDow,111.92, DistUp,112.18,ObstDistMax120cm ,,,
 DistFront,110.27, DistDow,111.6, DistUp,111.89,ObstDistMax120cm ,,,
 DistFront,110.17, DistDow,111.92, DistUp,113.49,ObstDistMax120cm ,,,
 DistFront,109.88, DistDow,112.91, DistUp,112.4,ObstDistMax120cm ,,,
 DistFront,109.9, DistDow,111.48, DistUp,112.74,ObstDistMax120cm ,,,
 DistFront,110.27, DistDow,111.09, DistUp,112.4,ObstDistMax120cm ,,,
 DistFront,109.74, DistDow,110.88, DistUp,111.33,ObstDistMax120cm ,,,
 DistFront,110.03, DistDow,110.88, DistUp,111.73,ObstDistMax120cm ,,,
 DistFront,108.38, DistDow,111.34, DistUp,109.54,ObstDistMax120cm ,,,
 DistFront,102.35, DistDow,92.26, DistUp,101.99,ObstDistMax120cm ,,,
 DistFront,98.89, DistDow,99.63, DistUp,100.46,ObstDistMax120cm ,,,
 DistFront,98.32, DistDow,90.85, DistUp,98.52,ObstDistMax120cm ,,,
 DistFront,87.38, DistDow,90.75, DistUp,96.19,ObstDistMax120cm ,,,
 DistFront,86.11, DistDow,86.02, DistUp,181.41,ObstDistMax120cm ,,,
 DistFront,159.52, DistDow,85.34, DistUp,159.05,ObstDistMax120cm ,,,
 DistFront,88.18, DistDow,86.46, DistUp,159.74,ObstDistMax120cm ,,,
 DistFront,86.97, DistDow,87.41, DistUp,156.84,ObstDistMax120cm ,,,
 DistFront,88.25, DistDow,87.89, DistUp,155.48,ObstDistMax120cm ,,,
 DistFront,86.28, DistDow,88.74, DistUp,152.98,ObstDistMax120cm ,,,
 DistFront,88.04, DistDow,94.95, DistUp,226.73,ObstDistMax120cm ,,,
 DistFront,4.76, DistDow,86.31, DistUp,151.11,ObstDistMax120cm ,,,
 DistFront,3.69, DistDow,111.48, DistUp,67.02,ObstDistMax120cm ,,,
 DistFront,4.49, DistDow,88.32, DistUp,65.17,ObstDistMax120cm ,,,
 DistFront,132.16, DistDow,89.83, DistUp,64.52,ObstDistMax120cm ,,,
 DistFront,127.47, DistDow,124.4, DistUp,63.25,ObstDistMax120cm ,,,
 DistFront,5.78, DistDow,93.67, DistUp,63.55,ObstDistMax120cm ,,,
 DistFront,4.83, DistDow,4.78, DistUp,62.93,ObstDistMax120cm ,,,
 DistFront,5.82, DistDow,6.99, DistUp,64.13,ObstDistMax120cm ,,,
 DistFrontMean,4.59, DistDowMean,93.52, DistUpMean,63.76,ObstDistMax120cm,,,
 DistFront,3.62, DistDow,116.85, DistUp,63.04,ObstDistMax120cm ,,,
 DistFront,4.1, DistDow,115.05, DistUp,63.52,ObstDistMax120cm ,,,
 DistFront,133.55, DistDow,111.85, DistUp,64.27,ObstDistMax120cm ,,,
 DistFront,129, DistDow,126.19, DistUp,65.14,ObstDistMax120cm ,,,
 DistFront,127.77, DistDow,107.98, DistUp,65.61,ObstDistMax120cm ,,,
 DistFront,129.81, DistDow,127.67, DistUp,64.52,ObstDistMax120cm ,,,
 DistFront,67.41, DistDow,127.96, DistUp,64.97,ObstDistMax120cm ,,,
 DistFront,66.97, DistDow,127.04, DistUp,64.39,ObstDistMax120cm ,,,
 DistFront,130.61, DistDow,126.33, DistUp,64,ObstDistMax120cm ,,,
 DistFront,167.06, DistDow,126.63, DistUp,63.4,ObstDistMax120cm ,,,
 DistFront,170.48, DistDow,126.96, DistUp,62.11,ObstDistMax120cm ,,,
 DistFront,61.17, DistDow,125.83, DistUp,59.98,ObstDistMax120cm ,,,
 DistFront,119.85, DistDow,123.78, DistUp,57.48,ObstDistMax120cm ,,,
 DistFront,170.32, DistDow,124.63, DistUp,56.17,ObstDistMax120cm ,,,
 DistFront,192.82, DistDow,123.42, DistUp,56.12,ObstDistMax120cm ,,,
 DistFront,2.69, DistDow,124.23, DistUp,55.39,ObstDistMax120cm ,,,
 DistFront,55.82, DistDow,123.35, DistUp,55.32,ObstDistMax120cm ,,,
 DistFront,177.64, DistDow,284.83, DistUp,3.76,ObstDistMax120cm ,,,
 DistFront,182.6, DistDow,282.67, DistUp,3365.68,ObstDistMax120cm ,,,
 DistFront,171.46, DistDow,130.85, DistUp,283.88,ObstDistMax120cm ,,,
 DistFrontMean,18.96, DistDowMean,127.98, DistUpMean,281.84,ObstDistMax120cm,,,
 DistFront,8.69, DistDow,285.83, DistUp,280.92,ObstDistMax120cm ,,,
 DistFront,6.56, DistDow,126.41, DistUp,281.55,ObstDistMax120cm ,,,
 DistFront,147.45, DistDow,128.35, DistUp,3.74,ObstDistMax120cm ,,,
 DistFront,172.41, DistDow,112.4, DistUp,3.35,ObstDistMax120cm ,,,
 DistFront,134.06, DistDow,105.32, DistUp,4.2,ObstDistMax120cm ,,,
 DistFront,97.91, DistDow,107.19, DistUp,5.05,ObstDistMax120cm ,,,
 DistFront,105.07, DistDow,114.34, DistUp,3.81,ObstDistMax120cm ,,,
 DistFront,116.75, DistDow,107.74, DistUp,4.17,ObstDistMax120cm ,,,
 DistFront,104.63, DistDow,104.4, DistUp,4.25,ObstDistMax120cm ,,,
 DistFront,102.13, DistDow,104.05, DistUp,4.25,ObstDistMax120cm ,,,
 DistFront,104.12, DistDow,101.48, DistUp,4.2,ObstDistMax120cm ,,,
 DistFront,98.84, DistDow,102.45, DistUp,3.81,ObstDistMax120cm ,,,
 DistFront,99.78, DistDow,139.98, DistUp,3.78,ObstDistMax120cm ,,,
 DistFront,102.13, DistDow,137.41, DistUp,3.69,ObstDistMax120cm ,,,
 DistFront,99.42, DistDow,101.33, DistUp,4.13,ObstDistMax120cm ,,,
 DistFront,98.74, DistDow,99.52, DistUp,4.98,ObstDistMax120cm ,,,
 DistFront,97.4, DistDow,98.06, DistUp,2.99,ObstDistMax120cm ,,,
 DistFront,99.3, DistDow,103.55, DistUp,2.98,ObstDistMax120cm ,,,
 DistFront,92.89, DistDow,98.42, DistUp,2.89,ObstDistMax120cm ,,,
 DistFront,97.26, DistDow,97.18, DistUp,3.84,ObstDistMax120cm ,,,
 DistFrontMean,98.45, DistDowMean,98.42, DistUpMean,182.47,ObstDistMax120cm,,,
 DistFront,4.88, DistDow,84.61, DistUp,181.73,ObstDistMax120cm ,,,
 DistFront,4.42, DistDow,85.61, DistUp,180.32,ObstDistMax120cm ,,,
 DistFront,4.54, DistDow,7.21, DistUp,153.32,ObstDistMax120cm ,,,
 DistFront,4.78, DistDow,6.5, DistUp,103.2,ObstDistMax120cm ,,,
 DistFront,4.88, DistDow,81.48, DistUp,168.67,ObstDistMax120cm ,,,
 DistFront,5.27, DistDow,92.06, DistUp,177.74,ObstDistMax120cm ,,,
 DistFront,3.69, DistDow,3.52, DistUp,155.24,ObstDistMax120cm ,,,
 DistFront,4.42, DistDow,89.1, DistUp,174.85,ObstDistMax120cm ,,,
 DistFront,4.88, DistDow,190.05, DistUp,172.84,ObstDistMax120cm ,,,
 DistFront,6.77, DistDow,189.66, DistUp,173.28,ObstDistMax120cm ,,,
 DistFront,6.12, DistDow,84.39, DistUp,172.48,ObstDistMax120cm ,,,
 DistFront,7.77, DistDow,83.78, DistUp,171.9,ObstDistMax120cm ,,,
 DistFront,5.83, DistDow,82.53, DistUp,171.05,ObstDistMax120cm ,,,
