, DistFront, 122.18, DistDow, 3206.38, DistUp, 293.10
, DistFront, 124.49, DistDow, 126.38, DistUp, 445.10
, DistFront, 121.60, DistDow, 124.74, DistUp, 296.50
, DistFront, 122.09, DistDow, 123.91, DistUp, 445.20
, DistFront, 122.57, DistDow, 123.59, DistUp, 444.39
, DistFront, 122.70, DistDow, 124.03, DistUp, 323.81
, DistFront, 123.59, DistDow, 3227.89, DistUp, 443.98
, DistFront, 124.46, DistDow, 3226.84, DistUp, 445.77
, DistFront, 122.67, DistDow, 3233.03, DistUp, 444.61
, DistFront, 121.60, DistDow, 123.10, DistUp, 320.43
, DistFront, 121.75, DistDow, 123.28, DistUp, 293.23
, DistFront, 123.40, DistDow, 122.38, DistUp, 293.11
, DistFront, 121.67, DistDow, 124.10, DistUp, 291.90
, DistFrontMean, 122.69, DistDowMean, 122.09, DistUpMean, 288.61
, DistFront, 122.91, DistDow, 122.77, DistUp, 292.76
, DistFront, 122.04, DistDow, 124.06, DistUp, 291.02
, DistFront, 121.67, DistDow, 122.67, DistUp, 444.23
, DistFront, 123.61, DistDow, 122.96, DistUp, 444.18
, DistFront, 121.05, DistDow, 122.96, DistUp, 377.93
, DistFront, 123.23, DistDow, 123.88, DistUp, 374.32
, DistFront, 121.99, DistDow, 123.95, DistUp, 443.23
, DistFront, 121.70, DistDow, 126.67, DistUp, 294.34
, DistFront, 121.75, DistDow, 130.17, DistUp, 291.89
, DistFront, 122.24, DistDow, 125.90, DistUp, 290.53
, DistFront, 122.60, DistDow, 127.33, DistUp, 290.92
, DistFront, 122.41, DistDow, 3242.67, DistUp, 287.74
, DistFront, 121.90, DistDow, 3236.50, DistUp, 446.33
, DistFront, 122.67, DistDow, 3218.13, DistUp, 444.69
, DistFront, 123.55, DistDow, 3194.59, DistUp, 444.78
, DistFront, 123.76, DistDow, 3239.81, DistUp, 444.39
, DistFront, 123.67, DistDow, 3226.17, DistUp, 446.63
, DistFront, 123.62, DistDow, 3215.05, DistUp, 295.41
, DistFront, 122.28, DistDow, 125.20, DistUp, 294.91
, DistFront, 122.60, DistDow, 126.39, DistUp, 251.17
, DistFrontMean, 121.84, DistDowMean, 128.06, DistUpMean, 291.97
, DistFront, 122.02, DistDow, 126.17, DistUp, 292.84
, DistFront, 121.84, DistDow, 126.96, DistUp, 293.89
, DistFront, 120.14, DistDow, 3189.27, DistUp, 3.78
, DistFront, 121.17, DistDow, 3244.39, DistUp, 289.32
, DistFront, 125.32, DistDow, 129.32, DistUp, 377.04
, DistFront, 124.49, DistDow, 127.98, DistUp, 375.78
, DistFront, 125.24, DistDow, 121.39, DistUp, 291.89
, DistFront, 120.39, DistDow, 123.59, DistUp, 292.24
, DistFront, 125.19, DistDow, 123.83, DistUp, 289.34
, DistFront, 121.97, DistDow, 123.54, DistUp, 287.69
, DistFront, 119.97, DistDow, 3212.24, DistUp, 443.40
, DistFront, 122.24, DistDow, 124.54, DistUp, 442.48
, DistFront, 125.48, DistDow, 3244.25, DistUp, 292.82
, DistFront, 125.70, DistDow, 125.66, DistUp, 292.38
, DistFront, 125.02, DistDow, 125.49, DistUp, 291.55
, DistFront, 124.54, DistDow, 126.33, DistUp, 292.35
, DistFront, 121.05, DistDow, 3192.33, DistUp, 291.04
, DistFront, 121.82, DistDow, 125.37, DistUp, 290.19
, DistFront, 124.88, DistDow, 3221.28, DistUp, 287.21
, DistFront, 124.63, DistDow, 80.39, DistUp, 283.28
, DistFrontMean, 124.00, DistDowMean, 3236.73, DistUpMean, 290.31
, DistFront, 121.75, DistDow, 3219.46, DistUp, 445.24
, DistFront, 122.62, DistDow, 3228.84, DistUp, 442.99
, DistFront, 121.68, DistDow, 3225.39, DistUp, 293.62
, DistFront, 121.19, DistDow, 3232.09, DistUp, 445.24
, DistFront, 122.77, DistDow, 3247.04, DistUp, 287.45
, DistFront, 121.04, DistDow, 3239.03, DistUp, 284.61
, DistFront, 122.69, DistDow, 328.69, DistUp, 287.93
, DistFront, 122.76, DistDow, 297.26, DistUp, 289.06
, DistFront, 123.28, DistDow, 124.90, DistUp, 287.02
